pathway,main_class,sub_class,source,confidence,created_at
Phosphatidylinositol signaling system,Environmental Information Processing,Signal transduction,KEGG,1.0,2026-01-27T17:48:14.976295
Maturity onset diabetes of the young,Human Diseases,Endocrine and metabolic disease,KEGG,1.0,2026-01-27T17:48:18.324972
Asthma,Human Diseases,Immune disease,KEGG,1.0,2026-01-27T17:48:21.684548
Yersinia infection,Human Diseases,Infectious disease: bacterial,KEGG,1.0,2026-01-27T17:48:25.033089
Transcriptional misregulation in cancer,Human Diseases,Cancer: overview,KEGG,1.0,2026-01-27T17:48:28.749184
Relaxin signaling pathway,Environmental Information Processing,Signal transduction,KEGG,0.8979591836734694,2026-01-27T17:48:29.296967
Fatty acid degradation,Metabolism,Lipid metabolism,KEGG,1.0,2026-01-27T17:48:34.622396
Morphine addiction,Human Diseases,Substance dependence,KEGG,1.0,2026-01-27T17:48:37.899805
Nitrogen metabolism,Metabolism,Energy metabolism,KEGG,1.0,2026-01-27T17:48:41.258080
Glucagon signaling pathway,Organismal Systems,Endocrine system,KEGG,1.0,2026-01-27T17:48:44.536092
Sulfur relay system,Genetic Information Processing,"Folding, sorting and degradation",KEGG,1.0,2026-01-27T17:48:47.773558
Taste transduction,Organismal Systems,Sensory system,KEGG,1.0,2026-01-27T17:48:51.090031
Cortisol synthesis and secretion,Organismal Systems,Endocrine system,KEGG,1.0,2026-01-27T17:48:54.347068
Cushing syndrome,Human Diseases,Endocrine and metabolic disease,KEGG,1.0,2026-01-27T17:48:57.678245
Salmonella infection,Human Diseases,Infectious disease: bacterial,KEGG,1.0,2026-01-27T17:49:01.029549
Folate biosynthesis,Metabolism,Metabolism of cofactors and vitamins,KEGG,1.0,2026-01-27T17:49:04.332470
Inflammatory mediator regulation of TRP channels,Organismal Systems,Sensory system,KEGG,1.0,2026-01-27T17:49:07.743315
Human T-cell leukemia virus 1 infection,Human Diseases,Infectious disease: viral,KEGG,1.0,2026-01-27T17:49:11.240603
Alcoholism,Human Diseases,Substance dependence,KEGG,1.0,2026-01-27T17:49:14.569804
Colorectal cancer,Human Diseases,Cancer: specific types,KEGG,1.0,2026-01-27T17:49:20.458911
AGE-RAGE signaling pathway in diabetic complications,Human Diseases,Endocrine and metabolic disease,KEGG,1.0,2026-01-27T17:49:23.937737
NF-kappa B signaling pathway,Environmental Information Processing,Signal transduction,KEGG,1.0,2026-01-27T17:49:27.461819
Melanoma,Human Diseases,Cancer: specific types,KEGG,1.0,2026-01-27T17:49:30.756496
Pathways in cancer,Human Diseases,Cancer: overview,KEGG,1.0,2026-01-27T17:49:34.586721
Steroid hormone biosynthesis,Metabolism,Lipid metabolism,KEGG,1.0,2026-01-27T17:49:40.506093
p53 signaling pathway,Environmental Information Processing,Signal transduction,KEGG,0.8837209302325582,2026-01-27T17:49:41.053840
Circadian entrainment,Organismal Systems,Environmental adaptation,KEGG,1.0,2026-01-27T17:49:43.843123
Pentose phosphate pathway,Metabolism,Carbohydrate metabolism,KEGG,1.0,2026-01-27T17:49:47.157831
Parkinson disease,Human Diseases,Neurodegenerative disease,KEGG,0.8666666666666667,2026-01-27T17:49:47.706175
Shigellosis,Human Diseases,Infectious disease: bacterial,KEGG,1.0,2026-01-27T17:49:50.508967
RIG-I-like receptor signaling pathway,Organismal Systems,Immune system,KEGG,0.8888888888888888,2026-01-27T17:49:51.065043
Type I diabetes mellitus,Human Diseases,Endocrine and metabolic disease,KEGG,0.979591836734694,2026-01-27T17:49:51.121127
Antigen processing and presentation,Organismal Systems,Immune system,KEGG,1.0,2026-01-27T17:49:54.044116
Inositol phosphate metabolism,Metabolism,Carbohydrate metabolism,KEGG,1.0,2026-01-27T17:49:57.342316
Purine metabolism,Metabolism,Nucleotide metabolism,KEGG,1.0,2026-01-27T17:50:00.616066
Vasopressin-regulated water reabsorption,Organismal Systems,Excretory system,KEGG,1.0,2026-01-27T17:50:03.859320
Gap junction,Cellular Processes,Cellular community - eukaryotes,KEGG,1.0,2026-01-27T17:50:07.085779
Regulation of lipolysis in adipocytes,Organismal Systems,Endocrine system,KEGG,1.0,2026-01-27T17:50:10.359722
Glioma,Human Diseases,Cancer: specific types,KEGG,1.0,2026-01-27T17:50:13.681359
Mucin type O-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism,KEGG,0.8787878787878788,2026-01-27T17:50:14.239572
MicroRNAs in cancer,Human Diseases,Cancer: overview,KEGG,1.0,2026-01-27T17:50:17.067853
Pancreatic secretion,Organismal Systems,Digestive system,KEGG,1.0,2026-01-27T17:50:20.335055
Sphingolipid signaling pathway,Environmental Information Processing,Signal transduction,KEGG,1.0,2026-01-27T17:50:23.640044
Terpenoid backbone biosynthesis,Metabolism,Metabolism of terpenoids and polyketides,KEGG,1.0,2026-01-27T17:50:29.616987
Serotonergic synapse,Organismal Systems,Nervous system,KEGG,1.0,2026-01-27T17:50:32.866506
RNA degradation,Genetic Information Processing,"Folding, sorting and degradation",KEGG,1.0,2026-01-27T17:50:36.137501
Thyroid cancer,Human Diseases,Cancer: specific types,KEGG,1.0,2026-01-27T17:50:39.389203
Fatty acid biosynthesis,Metabolism,Lipid metabolism,KEGG,1.0,2026-01-27T17:50:45.312927
Osteoclast differentiation,Organismal Systems,Development and regeneration,KEGG,1.0,2026-01-27T17:50:48.612894
Metabolism of xenobiotics by cytochrome P450,Metabolism,Xenobiotics biodegradation and metabolism,KEGG,1.0,2026-01-27T17:50:51.882627
Ascorbate and aldarate metabolism,Metabolism,Carbohydrate metabolism,KEGG,1.0,2026-01-27T17:50:55.152419
Other glycan degradation,Metabolism,Glycan biosynthesis and metabolism,KEGG,1.0,2026-01-27T17:50:58.432760
Non-small cell lung cancer,Human Diseases,Cancer: specific types,KEGG,1.0,2026-01-27T17:51:04.502253
SNARE interactions in vesicular transport,Genetic Information Processing,"Folding, sorting and degradation",KEGG,1.0,2026-01-27T17:51:07.990587
Viral protein interaction with cytokine and cytokine receptor,Environmental Information Processing,Signaling molecules and interaction,KEGG,1.0,2026-01-27T17:51:11.300174
Linoleic acid metabolism,Metabolism,Metabolism of cofactors and vitamins,KEGG,0.9130434782608696,2026-01-27T17:51:11.863523
Cytokine-cytokine receptor interaction,Environmental Information Processing,Signaling molecules and interaction,KEGG,1.0,2026-01-27T17:51:14.691208
Vitamin digestion and absorption,Organismal Systems,Digestive system,KEGG,0.875,2026-01-27T17:51:17.814616
Other types of O-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism,KEGG,1.0,2026-01-27T17:51:20.608284
Endocytosis,Cellular Processes,Transport and catabolism,KEGG,1.0,2026-01-27T17:51:23.838156
African trypanosomiasis,Human Diseases,Infectious disease: parasitic,KEGG,1.0,2026-01-27T17:51:27.188022
Fluid shear stress and atherosclerosis,Human Diseases,Cardiovascular disease,KEGG,1.0,2026-01-27T17:51:30.684401
Collecting duct acid secretion,Organismal Systems,Excretory system,KEGG,1.0,2026-01-27T17:51:33.961398
Tight junction,Cellular Processes,Cellular community - eukaryotes,KEGG,1.0,2026-01-27T17:51:37.331724
One carbon pool by folate,Metabolism,Metabolism of cofactors and vitamins,KEGG,1.0,2026-01-27T17:51:40.660179
Gastric cancer,Human Diseases,Cancer: specific types,KEGG,1.0,2026-01-27T17:51:44.010121
Gastric acid secretion,Organismal Systems,Digestive system,KEGG,1.0,2026-01-27T17:51:47.311141
Central carbon metabolism in cancer,Human Diseases,Cancer: overview,KEGG,1.0,2026-01-27T17:51:50.624308
IL-17 signaling pathway,Environmental Information Processing,Signal transduction,KEGG,0.9130434782608696,2026-01-27T17:51:51.181263
alpha-Linolenic acid metabolism,Metabolism,Metabolism of cofactors and vitamins,KEGG,0.8727272727272727,2026-01-27T17:51:51.237475
Phosphonate and phosphinate metabolism,Metabolism,Metabolism of other amino acids,KEGG,1.0,2026-01-27T17:51:56.646275
N-Glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism,KEGG,1.0,2026-01-27T17:51:59.948066
Spinocerebellar ataxia,Human Diseases,Neurodegenerative disease,KEGG,1.0,2026-01-27T17:52:08.931827
Influenza A,Genetic Information Processing,Information processing in viruses,KEGG,1.0,2026-01-27T17:52:12.339763
Protein export,Genetic Information Processing,"Folding, sorting and degradation",KEGG,1.0,2026-01-27T17:52:15.717345
Pentose and glucuronate interconversions,Metabolism,Carbohydrate metabolism,KEGG,1.0,2026-01-27T17:52:19.055321
Platelet activation,Organismal Systems,Immune system,KEGG,1.0,2026-01-27T17:52:22.355571
Primary immunodeficiency,Human Diseases,Immune disease,KEGG,1.0,2026-01-27T17:52:25.701653
Leukocyte transendothelial migration,Organismal Systems,Immune system,KEGG,1.0,2026-01-27T17:52:29.032912
VEGF signaling pathway,Environmental Information Processing,Signal transduction,KEGG,0.8837209302325582,2026-01-27T17:52:29.592725
Pertussis,Human Diseases,Infectious disease: bacterial,KEGG,1.0,2026-01-27T17:52:32.414720
Staphylococcus aureus infection,Human Diseases,Infectious disease: bacterial,KEGG,1.0,2026-01-27T17:52:35.894473
Th17 cell differentiation,Organismal Systems,Immune system,KEGG,1.0,2026-01-27T17:52:39.150516
Glycerophospholipid metabolism,Metabolism,Lipid metabolism,KEGG,1.0,2026-01-27T17:52:42.461611
Renin secretion,Organismal Systems,Endocrine system,KEGG,1.0,2026-01-27T17:52:45.725787
Hepatocellular carcinoma,Human Diseases,Cancer: specific types,KEGG,1.0,2026-01-27T17:52:51.641802
Carbohydrate digestion and absorption,Organismal Systems,Digestive system,KEGG,1.0,2026-01-27T17:53:00.048609
Cardiac muscle contraction,Organismal Systems,Circulatory system,KEGG,1.0,2026-01-27T17:53:03.322891
Proteoglycans in cancer,Human Diseases,Cancer: overview,KEGG,1.0,2026-01-27T17:53:09.433511
Melanogenesis,Organismal Systems,Endocrine system,KEGG,1.0,2026-01-27T17:53:12.743044
Epstein-Barr virus infection,Human Diseases,Infectious disease: viral,KEGG,1.0,2026-01-27T17:53:16.302594
mTOR signaling pathway,Environmental Information Processing,Signal transduction,KEGG,0.8837209302325582,2026-01-27T17:53:16.866238
Estrogen signaling pathway,Environmental Information Processing,Signal transduction,KEGG,0.851063829787234,2026-01-27T17:53:16.920726
Retinol metabolism,Metabolism,Metabolism of cofactors and vitamins,KEGG,1.0,2026-01-27T17:53:19.680834
GnRH secretion,Organismal Systems,Endocrine system,KEGG,1.0,2026-01-27T17:53:22.949000
Inflammatory bowel disease,Human Diseases,Immune disease,KEGG,1.0,2026-01-27T17:53:26.293040
Viral carcinogenesis,Human Diseases,Cancer: overview,KEGG,1.0,2026-01-27T17:53:29.974675
FoxO signaling pathway,Environmental Information Processing,Signal transduction,KEGG,0.8837209302325582,2026-01-27T17:53:30.530724
Basal cell carcinoma,Human Diseases,Cancer: specific types,KEGG,0.85,2026-01-27T17:53:30.583729
Malaria,Human Diseases,Infectious disease: parasitic,KEGG,1.0,2026-01-27T17:53:33.348247
Necroptosis,Cellular Processes,Cell growth and death,KEGG,1.0,2026-01-27T17:53:36.764747
cAMP signaling pathway,Environmental Information Processing,Signal transduction,KEGG,0.9545454545454546,2026-01-27T17:53:37.329851
Taurine and hypotaurine metabolism,Metabolism,Metabolism of other amino acids,KEGG,1.0,2026-01-27T17:53:46.826830
Renin-angiotensin system,Organismal Systems,Endocrine system,KEGG,1.0,2026-01-27T17:53:50.169923
Endocrine and other factor-regulated calcium reabsorption,Organismal Systems,Excretory system,KEGG,1.0,2026-01-27T17:53:53.538909
Thyroid hormone synthesis,Metabolism,Lipid metabolism,KEGG,0.8679245283018868,2026-01-27T17:53:54.098052
JAK-STAT signaling pathway,Environmental Information Processing,Signal transduction,KEGG,0.851063829787234,2026-01-27T17:53:54.158503
Fructose and mannose metabolism,Metabolism,Carbohydrate metabolism,KEGG,1.0,2026-01-27T17:53:56.936800
Tryptophan metabolism,Metabolism,Amino acid metabolism,KEGG,1.0,2026-01-27T17:54:00.209462
Proteasome,Genetic Information Processing,"Folding, sorting and degradation",KEGG,1.0,2026-01-27T17:54:03.547480
Basal transcription factors,Genetic Information Processing,Transcription,KEGG,1.0,2026-01-27T17:54:06.874702
GnRH signaling pathway,Environmental Information Processing,Signal transduction,KEGG,0.8837209302325582,2026-01-27T17:54:07.440578
Glutathione metabolism,Metabolism,Metabolism of other amino acids,KEGG,1.0,2026-01-27T17:54:12.990124
Alzheimer disease,Human Diseases,Neurodegenerative disease,KEGG,1.0,2026-01-27T17:54:16.500315
Human papillomavirus infection,Human Diseases,Infectious disease: viral,KEGG,1.0,2026-01-27T17:54:20.046103
Endometrial cancer,Human Diseases,Cancer: specific types,KEGG,1.0,2026-01-27T17:54:25.968950
Biosynthesis of unsaturated fatty acids,Metabolism,Lipid metabolism,KEGG,1.0,2026-01-27T17:54:29.271338
Cell-matrix adhesion,Cellular Processes,Cell Adhesion,GO_BP,0.9,2026-01-27T17:54:33.217693
Response to xenobiotic stimulus,Environmental Information Processing,Xenobiotic Metabolism,GO_BP,0.9,2026-01-27T17:54:33.240471
mRNA modification,Genetic Information Processing,RNA Editing and Processing,GO_BP,0.9,2026-01-27T17:54:33.254303
Immune effector process,Immune System,Adaptive Immunity,GO_BP,0.9,2026-01-27T17:54:33.268230
Circulatory system development,Developmental Biology,Circulatory System Development,GO_BP,0.9,2026-01-27T17:54:33.283516
Dendritic cell proliferation,Immune System,Innate Immunity,GO_BP,0.9,2026-01-27T17:54:33.296917
