Gene,fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841_log2FC,fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841_p-value,fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841_adj-p-value,Status,Normalized_Gene,HGNC_Synonyms,Patient_LFC_mean,Cohort_LFC_mean,Patient_LFC_Trend,Cohort_LFC_Trend,Trend_Consensus,DCS,CSC,CFC,keep,novel,JL_score,CGC,Gene_Score,Disorder_Score,Disorder_Type,PPI_Degree,PPI_Avg_Score,PPI_Score,Composite_Score,Tier,Non_CGC_Composite_Score,Non_CGC_Tier,Rank,Score,Confidence,Justification
TBX21,-1.76991,4.87196e-05,0.0143358,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,TBX21,IMD88;T-PET;T-bet;TBET;TBLYM,-1.76991,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,1.0418874,15.5366,inferred,13.0,0.6366923076923078,8.277000000000001,0.0721425296306251,Tier 3,0.0721425296306251,Tier 3,19,64.0,Medium,"Disease specificity: 60/100 (moderate; 40-69 bracket) reflecting some autoimmune relevance as a Th1 transcription factor but not a canonical SLE GWAS HLA/IFN gene. Patient signal: 80/100 (70-89 bracket); |LFC|=1.76991, adjusted p-value=NA (−log10(p) unknown), CSC=0. Functional: 80/100 (70-89 bracket); PPI_Degree=13 and TBX21 is a key T cell lineage regulator. Clinical: 20/100 (0-29 bracket); no approved SLE therapies directly targeting TBX21. Evidence: 80/100 (70-89 bracket); good literature linking TBX21 to autoimmunity and adaptive immune skewing."
IFI44L,-2.77269,0.000758901,0.0631606,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,IFI44L,C1orf29;GS3686;TLDC5B,-2.77269,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,4.0,0.7350000000000001,2.9400000000000004,0.02937308242683433,Tier 3,0.02937308242683433,Tier 3,20,64.0,High,"Disease specificity: Related to Type I IFN program (60/100). Patient signal: Moderate (65/100); |LFC|=2.77269, Patient_adj_P_value=NA (meets |LFC|≥2 but p-value missing). Functional: Important ISG with modest PPI (70/100; PPI_Degree=4). Clinical: Early/established biomarker of IFN signature (60/100). Evidence: Good literature support in SLE (80/100)."
BLNK,-1.2437,0.0210594,0.28765,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,BLNK,AGM4;BASH;BLNK-S;LY57;SLP-65;SLP65;bca,-1.2437,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,8.0,0.6872499999999999,5.497999999999999,0.03742001070170892,Tier 3,0.03742001070170892,Tier 3,21,63.0,Medium,"Disease specificity: 60 (40-69) — BLNK is a BCR signaling adaptor relevant to B cell activation pathways implicated in SLE. Patient signal: 60 (50-69) — Patient_LFC_mean = -1.2437, adjusted p = NA (|LFC|≥1 supports a moderate patient signal); CSC=0, DCS=-1. Functional: 75 (70-89) — important B cell signaling component with PPI_Degree = 8. Clinical: 60 (50-69) — biologically linked to B cell–targeted therapies (BCR/BTK axis) but not a direct FDA target. Evidence: 60 (50-69) — moderate literature support linking BLNK to humoral immunity and autoimmunity."
MAF,-1.11657,0.0477486,0.400772,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,MAF,AYGRP;CCA4;CTRCT21;c-MAF,-1.11657,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,1.0,,,,1.0,0.408,0.408,0.20472464635287096,Tier 3,0.20472464635287096,Tier 3,22,63.0,Medium,"Disease: Moderate (40-69) — MAF is a transcription factor that promotes plasma cell differentiation and links to B cell/PRDM1-driven antibody programs in lupus (disease specificity 65). Signal: Moderate (50-69) — Patient_LFC_mean = -1.11657, adj_P_value = NA (|LFC|≈1 → bracket 50-69), CSC=0, DCS=-1. Functional: Important component (70-89) — PPI_Degree=1 but key TF for plasmablast/plasma cell fate; Clinical: Early-phase/biomarker potential (50-69); Evidence: Good support (70-89)."
IL2RB,-1.38311,0.00200868,0.0972047,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,IL2RB,CD122;IL15RB;IMD63;P70-75,-1.38311,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,1.5292362,18.3242,inferred,12.0,0.6805,8.166,0.06089373029058928,Tier 3,0.06089373029058928,Tier 3,23,63.0,Medium,"Disease: 55 (moderate relevance); Gene_Score=1.5292362, Disorder_Score=18.3242. Patient signal: 55 (moderate) with Patient_LFC_mean = -1.38311, adjusted p = NA. Functional: 85 (important component) with PPI_Degree = 12 and known central role in IL-2 signaling for T/B homeostasis. Clinical: 60 (early/experimental relevance) — IL-2 pathway is being explored therapeutically in autoimmunity. Evidence: 80 (good literature support)."
ITGB8,2.65872,0.000200322,0.0352266,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,ITGB8,,2.65872,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,1.0,0.574,0.574,0.01778996859572354,Tier 3,0.01778996859572354,Tier 3,24,62.0,Medium,"Disease specificity: 45 (40-69 range — related inflammatory/ECM pathways but not a core lupus driver). Patient signal: 95 (|LFC|=2.65872, Patient_LFC_mean=2.65872, p-value NA → meets |LFC|≥2 criterion). Functional: 80 (70-89 — important component; PPI_Degree=1.0, integrin function affecting cell adhesion/TGF-β activation). Clinical: 20 (0-29 — no established SLE-targeted therapies). Evidence: 60 (50-69 — moderate literature linking integrins to immune regulation)."
TNFRSF9,1.10187,0.00322033,0.120647,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,TNFRSF9,4-1BB;CD137;CDw137;ILA;IMD109,1.10187,,UP,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,,,,7.0,0.6111428571428572,4.2780000000000005,0.034169749726326325,Tier 3,0.034169749726326325,Tier 3,25,61.0,Medium,"Disease Specificity=50 (related immune-costimulatory pathway, moderate lupus relevance). Patient Signal=55 (Patient_LFC_mean=1.10187; adjusted p-value NA; CSC=0, DCS=-1). Functional=80 (PPI_Degree=7; T cell costimulatory receptor with clear immune function). Clinical=65 (targeted by clinical programs in oncology; translational potential). Evidence=75 (good literature on immune modulation)."
IL21R,-1.00024,0.0135907,0.238157,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,IL21R,CD360;IMD56;NILR,-1.00024,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,1.0,2.05759382,21.0689,inferred,5.0,0.4484,2.242,0.22652029107293709,Tier 3,0.22652029107293709,Tier 3,26,61.0,Medium,"Disease: 60 (moderate-to-high relevance); Gene_Score=2.05759382, Disorder_Score=21.0689, CGC=1. Patient signal: 50 (moderate) with Patient_LFC_mean = -1.00024, adjusted p = NA. Functional: 80 (important receptor) with PPI_Degree = 5 and established role in B cell differentiation/plasmablast support. Clinical: 50 (early-phase/experimental) — IL-21/IL21R axis is of translational interest in autoimmunity. Evidence: 80 (good support in literature linking IL-21 signaling to autoantibody production)."
LTA,-1.48682,0.0113864,0.219786,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,LTA,LT;TNFB;TNFSF1;TNLG1E,-1.48682,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,0.0,1.47745979,17.9775,inferred,4.0,0.61475,2.459,0.022868383058261933,Tier 3,0.022868383058261933,Tier 3,27,60.0,Medium,"Disease Specificity: 50 (related immune cytokine, moderate lupus relevance). Patient Signal: 65 (|LFC|=1.4868, adj_P_value=NA). Functional: 75 (PPI_Degree=4; lymphotoxin alpha, cytokine activity). Clinical: 50 (early clinical relevance bracket; TNF-family biology but no established SLE-target). Evidence: 70 (moderate literature in autoimmunity)."
PAX5,-1.41108,0.0475934,0.400772,Unique to fdf59fee-e3f3-471d-953d-7bd03dc7caed_fdf59fee-e3f3-471d-953d-7bd03dc7caed_DEGs_t1.00_n1841,PAX5,ALL3;BSAP;PAX-5,-1.41108,,DOWN,UNKNOWN,INSUFFICIENT_DATA,-1,0,,False,True,,1.0,,,,5.0,0.5892,2.9459999999999997,0.22335323845467736,Tier 3,0.22335323845467736,Tier 3,28,60.0,Medium,"Disease specificity: Moderate (40-69) — assigned 65 due to known B cell lineage/transcriptional regulator relevance to B cell activation programs. Patient signal: Moderate (50-69) — |LFC|=1.41, adj_P_value=NA, assigned 60. Functional: Important component (70-89) — PPI_Degree=5, assigned 75 as a transcription factor central to B‑cell identity. Clinical: Low (0-29) — assigned 20 (no approved lupus targeting but biologic relevance to B cells). Evidence: Good (70-89) — assigned 75 based on literature linking PAX5 to B cell biology and autoimmunity."
